EIN,NAME,COND,soi.year,DBA_NAME,GRP_RET_FOR_AFFLTS,GRP_EXMPT_NUM,ISSR_EIN_A,ISSR_EIN_B,ISSR_EIN_C,ISSR_EIN_D
010729151,HEALTHPLUS PARTNERS INC,NA,2009,NA,N,NA,NA,NA,NA,NA
010729151,HEALTHPLUS PARTNERS INC,NA,2010,NA,N,NA,NA,NA,NA,NA
010729151,HEALTHPLUS PARTNERS INC,NA,2011,NA,N,NA,NA,NA,NA,NA
010729151,HEALTHPLUS PARTNERS INC,NA,2012,NA,N,NA,NA,NA,NA,NA
010740709,GATEWAY COMMUNITY HEALTH,NA,2010,NA,N,NA,NA,NA,NA,NA
010740709,GATEWAY COMMUNITY HEALTH,NA,2011,NA,N,NA,NA,NA,NA,NA
010740709,GATEWAY COMMUNITY HEALTH,NA,2012,NA,N,NA,NA,NA,NA,NA
010744024,ARABIAN HORSE ASSOCIATION,NA,2008,NA,N,NA,NA,NA,NA,NA
010744024,ARABIAN HORSE ASSOCIATION,NA,2009,NA,N,NA,NA,NA,NA,NA
010744024,ARABIAN HORSE ASSOCIATION,NA,2010,NA,N,NA,NA,NA,NA,NA
010749311,UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND,NA,2008,NA,N,NA,NA,NA,NA,NA
010749311,UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND,NA,2009,NA,N,NA,NA,NA,NA,NA
010749311,UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND,NA,2010,NA,N,NA,NA,NA,NA,NA
010749311,UFCW UNIONS & PARTICIPATING EMPLOYERS HEALTH & WELFARE FUND,NA,2011,NA,N,NA,NA,NA,NA,NA
010757287,UFCW - HAWAII FOOD EMPLOYERS HEALTH & WELFARE TRUST FUND,NA,2008,NA,N,NA,NA,NA,NA,NA
010757287,UFCW - HAWAII FOOD EMPLOYERS HEALTH & WELFARE TRUST FUND,NA,2009,NA,N,NA,NA,NA,NA,NA
010757287,UFCW - HAWAII FOOD EMPLOYERS HEALTH & WELFARE TRUST FUND,NA,2010,NA,N,NA,NA,NA,NA,NA
010757287,UFCW - HAWAII FOOD EMPLOYERS HEALTH & WELFARE TRUST FUND,NA,2011,NA,N,NA,NA,NA,NA,NA
010757287,UFCW - HAWAII FOOD EMPLOYERS HEALTH & WELFARE TRUST FUND,NA,2012,NA,N,NA,NA,NA,NA,NA
010803109,International SEMATECH Manufacturing Initiative Inc,NA,2008,NA,N,NA,NA,NA,NA,NA
010817065,STRATEGIC MARKETPLACE INITIATIVE C/O TERI GALLAGHER,NA,2011,NA,N,NA,NA,NA,NA,NA
010863786,MANALIVE SACRAMENTO INC,NA,2008,NA,N,NA,NA,NA,NA,NA
010863786,MANALIVE SACRAMENTO INC,NA,2010,NA,N,NA,NA,NA,NA,NA
010863786,MANALIVE-SACRAMENTO INC,NA,2009,NA,N,NA,NA,NA,NA,NA
010942737,USW INTERNATIONAL UNION LOCAL,NA,2012,NA,NA,260,NA,NA,NA,NA
010942737,USW INTERNATIONAL UNION LOCAL 9-00033,NA,2010,NA,N,260,NA,NA,NA,NA
016018762,ROCKLAND ROTARY CLUB,NA,2008,NA,N,573,NA,NA,NA,NA
016018762,ROCKLAND ROTARY CLUB,NA,2009,NA,N,573,NA,NA,NA,NA
016018762,ROCKLAND ROTARY CLUB,NA,2010,NA,N,573,NA,NA,NA,NA
016018762,ROCKLAND ROTARY CLUB,NA,2011,NA,N,573,NA,NA,NA,NA
016018762,ROCKLAND ROTARY CLUB,NA,2012,NA,N,573,NA,NA,NA,NA
016021790,INTERNATIONAL ASSOCIATION OF LIONS 13635,NA,2010,NA,NA,239,NA,NA,NA,NA
016196051,INTERNATIONAL BROTHERHOOD OF TEAMSTERS VOLUNTARY EMPLOYEE BE,NA,2010,NA,N,NA,NA,NA,NA,NA
016196051,INTERNATIONAL BROTHERHOOD OF TEAMSTERS VOLUNTARY EMPLOYEE BE,NA,2011,NA,N,NA,NA,NA,NA,NA
016196051,INTERNATIONAL BROTHERHOOD OF TEAMSTERS VOLUNTARY EMPLOYEE BE,NA,2012,NA,N,NA,NA,NA,NA,NA
016231970,MED EXPENSE REIMBURSEMENT PLAN OF THE BURBANK EMPLOYEES RETI,NA,2012,NA,N,NA,NA,NA,NA,NA
016231970,MEDICAL EXPENSE REIMBURSEMENT PLAN OF,NA,2009,NA,N,NA,NA,NA,NA,NA
016231970,MEDICAL EXPENSE REIMBURSEMENT PLAN OF THE BURBANK EMPLOYEES,NA,2011,NA,N,NA,NA,NA,NA,NA
016231970,MEDICAL EXPENSE REIMBURSEMENT PLAN OF THE BURBANK ERMT,NA,2010,NA,N,NA,NA,NA,NA,NA
016274657,NEW YORK UNIVERSITY VEBA TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
016274657,NEW YORK UNIVERSITY VEBA TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
016274657,NEW YORK UNIVERSITY VEBA TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
016274657,NEW YORK UNIVERSITY VEBA TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
020105200,ACA ASSURANCE,NA,2008,NA,N,NA,NA,NA,NA,NA
020105200,ACA ASSURANCE,NA,2009,ACA ASSURANCE IN REHABILITATION,N,NA,NA,NA,NA,NA
020105200,ACA ASSURANCE,NA,2010,ACA ASSURANCE IN REHABILITATION,Y,179,NA,NA,NA,NA
020112350,BRITISH AMERICAN ASSOCIATION,NA,2008,NA,N,NA,NA,NA,NA,NA
020112350,BRITISH AMERICAN ASSOCIATION,NA,2009,NA,N,NA,NA,NA,NA,NA
020232424,American Football Coaches Association,NA,2008,NA,N,NA,NA,NA,NA,NA
020232424,American Football Coaches Association,NA,2009,NA,N,NA,NA,NA,NA,NA
020232424,AMERICAN FOOTBALL COACHES ASSOCIATION,NA,2010,NA,N,NA,NA,NA,NA,NA
020232424,AMERICAN FOOTBALL COACHES ASSOCIATION,NA,2011,NA,N,NA,NA,NA,NA,NA
020232424,AMERICAN FOOTBALL COACHES ASSOCIATION,NA,2012,NA,N,NA,NA,NA,NA,NA
020239009,SANDWICH FAIR ASSOCIATION,NA,2008,NA,N,NA,NA,NA,NA,NA
020239009,SANDWICH FAIR ASSOCIATION,NA,2009,NA,N,NA,NA,NA,NA,NA
020239009,SANDWICH FAIR ASSOCIATION,NA,2010,NA,N,NA,NA,NA,NA,NA
020239009,SANDWICH FAIR ASSOCIATION,NA,2011,NA,N,NA,NA,NA,NA,NA
020239009,SANDWICH FAIR ASSOCIATION,NA,2012,NA,N,NA,NA,NA,NA,NA
020256731,LINCOLN-WOODSTOCK CHAMBER COMMERCE,NA,2008,NA,N,NA,NA,NA,NA,NA
020256731,LINCOLN-WOODSTOCK CHAMBER COMMERCE,NA,2010,NA,N,NA,NA,NA,NA,NA
020256731,LINCOLN-WOODSTOCK CHAMBER COMMERCE,NA,2011,NA,N,NA,NA,NA,NA,NA
020256731,LINCOLN-WOODSTOCK CHAMBER COMMERCE,NA,2012,NA,N,NA,NA,NA,NA,NA
020273013,Delta Dental Plan of New Hampshire Inc,NA,2011,NA,N,NA,NA,NA,NA,NA
020273013,Delta Dental Plan of New Hampshire Inc,NA,2012,NA,N,NA,NA,NA,NA,NA
020273013,DELTA DENTAL PLAN OF NEW HAMPSHIRE INC,NA,2008,NA,N,NA,NA,NA,NA,NA
020273013,DELTA DENTAL PLAN OF NEW HAMPSHIRE INC,NA,2009,NA,N,NA,NA,NA,NA,NA
020273013,DELTA DENTAL PLAN OF NEW HAMPSHIRE INC,NA,2010,NA,N,NA,NA,NA,NA,NA
020346955,NEW HAMPSHIRE INSURANCE GUARANTY ASSN,NA,2008,NA,N,NA,NA,NA,NA,NA
020346955,NEW HAMPSHIRE INSURANCE GUARANTY ASSN,NA,2009,NA,N,NA,NA,NA,NA,NA
020346955,NEW HAMPSHIRE INSURANCE GUARANTY ASSOCIATION,NA,2010,NA,N,NA,NA,NA,NA,NA
020346955,NEW HAMPSHIRE INSURANCE GUARANTY ASSOCIATION,NA,2011,NA,N,NA,NA,NA,NA,NA
020346955,NEW HAMPSHIRE INSURANCE GUARANTY ASSOCIATION,NA,2012,NA,N,NA,NA,NA,NA,NA
020349161,NEW HAMPSHIRE WOMEN'S GOLF ASSOCIATION DOREEN BERGERON TREAS,NA,2010,NA,N,NA,NA,NA,NA,NA
020349161,NEW HAMPSHIRE WOMEN'S GOLF ASSOCIATION DORENE BERGERON TREAS,NA,2011,NA,N,NA,NA,NA,NA,NA
020349161,NEW HAMPSHIRE WOMEN'S GOLF ASSOCIATION DORENE BERGERON TREAS,NA,2012,NA,N,NA,NA,NA,NA,NA
020385121,GRANITA STATE ECONOMIC DEVELOPMENT CORP,NA,2009,NA,N,NA,NA,NA,NA,NA
020385121,GRANITE STATE ECONOMIC DEVELOPMENT CORP,NA,2008,NA,N,NA,NA,NA,NA,NA
020385121,GRANITE STATE ECONOMIC DEVELOPMENT CORP,NA,2010,NA,N,NA,NA,NA,NA,NA
020385121,GRANITE STATE ECONOMIC DEVELOPMENT CORP,NA,2011,NA,N,NA,NA,NA,NA,NA
020385121,GRANITE STATE ECONOMIC DEVELOPMENT CORP,NA,2012,NA,N,NA,NA,NA,NA,NA
020455162,CAPITAL REGIONAL DEVELOPMENT COUNCIL,NA,2008,NA,N,NA,NA,NA,NA,NA
020455162,CAPITAL REGIONAL DEVELOPMENT COUNCIL,NA,2009,NA,N,NA,NA,NA,NA,NA
020455162,CAPITAL REGIONAL DEVELOPMENT COUNCIL,NA,2010,NA,N,NA,NA,NA,NA,NA
020455162,CAPITAL REGIONAL DEVELOPMENT COUNCIL,NA,2011,NA,N,NA,NA,NA,NA,NA
020455162,CAPITAL REGIONAL DEVELOPMENT COUNCIL,NA,2012,NA,N,NA,NA,NA,NA,NA
020460247,GRANITE STATE CO POST RET BEN FOR EES NOT SUBJECT TO COLLECT,NA,2011,NA,N,NA,NA,NA,NA,NA
020460247,GRANITE STATE CO POST RET BEN FOR EES NOT SUBJECT TO COLLECT,NA,2012,NA,N,NA,NA,NA,NA,NA
020460247,GRANITE STATE CO POST RET BEN FOR NO,NA,2010,NA,N,NA,NA,NA,NA,NA
020460247,GRANITE STATE ELECTRIC CO POST RETIREMENT BENEFIT TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
020460247,GSEC POSTRETIRE TRUST FOR EMPLOYEES NOT SUBJECT TO A CBA NGV,NA,2008,NA,N,NA,NA,NA,NA,NA
020460249,GRANITE STATE CO POST RET BEN FOR UNION,NA,2011,NA,N,NA,NA,NA,NA,NA
020460249,GRANITE STATE CO POST RET BEN FOR UNION,NA,2012,NA,N,NA,NA,NA,NA,NA
020460249,GRANITE STATE ELECTRIC CO RET BEN TR FOR UNION EMPLOYEES,NA,2010,NA,N,NA,NA,NA,NA,NA
020460249,GRANITE STATE ELECTRICAL POST RET BEN FOR UN,NA,2009,NA,N,NA,NA,NA,NA,NA
020503267,BAKER HILL GOLF CLUB,NA,2008,NA,N,NA,NA,NA,NA,NA
020503267,BAKER HILL GOLF CLUB,NA,2009,NA,N,NA,NA,NA,NA,NA
020503267,BAKER HILL GOLF CLUB,NA,2010,NA,N,NA,NA,NA,NA,NA
020503267,BAKER HILL GOLF CLUB,NA,2011,NA,N,NA,NA,NA,NA,NA
020503267,BAKER HILL GOLF CLUB,NA,2012,NA,N,NA,NA,NA,NA,NA
020571577,GLOBAL ASSN OF RISK PROFESSIONALS INC.,NA,2010,NA,N,NA,NA,NA,NA,NA
020571577,GLOBAL ASSOCIATION OF RISK PROFESSIONALS INC,NA,2008,NA,N,NA,NA,NA,NA,NA
020571577,GLOBAL ASSOCIATION OF RISK PROFESSIONALS INC,NA,2011,NA,N,NA,NA,NA,NA,NA
020571577,GLOBAL ASSOCIATION OF RISK PROFESSIONALS INC,NA,2012,NA,N,NA,NA,NA,NA,NA
020571577,GLOBAL ASSOCIATION OF RISK PROFESSTIONALS INC,NA,2009,NA,N,NA,NA,NA,NA,NA
020599836,MICHELIN NORTH AMERICA INC VEBA LIFE,NA,2008,NA,N,NA,NA,NA,NA,NA
020599836,MICHELIN NORTH AMERICA INC VEBA LIFE,NA,2009,NA,N,NA,NA,NA,NA,NA
020642820,REPUBLIC RETIREE VEBA BENEFIT TRUST,NA,2008,REPUBLIC RETIREE VEBA BENEFIT TRUST,N,NA,NA,NA,NA,NA
020642820,REPUBLIC RETIREE VEBA BENEFIT TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
020642820,REPUBLIC RETIREE VEBA BENEFIT TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
020642820,REPUBLIC RETIREE VEBA BENEFIT TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
020642820,REPUBLIC RETIREE VEBA BENEFIT TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
020656066,Heartland Healthcare Fund,NA,2009,NA,N,NA,NA,NA,NA,NA
020656066,HEARTLAND HEALTHCARE FUND,NA,2008,NA,N,NA,NA,NA,NA,NA
020656066,HEARTLAND HEALTHCARE FUND,NA,2010,NA,N,NA,NA,NA,NA,NA
020656066,HEARTLAND HEALTHCARE FUND,NA,2011,NA,N,NA,NA,NA,NA,NA
020656066,HEARTLAND HEALTHCARE FUND,NA,2012,NA,N,NA,NA,NA,NA,NA
020662714,EQUALITY NC,NA,2010,NA,N,NA,NA,NA,NA,NA
020662714,EQUALITY NC,NA,2011,NA,N,NA,NA,NA,NA,NA
020662714,EQUALITY NC,NA,2012,NA,N,NA,NA,NA,NA,NA
020700616,NASHVILLE CONVENTION & VISITORS BUREAU,NA,2008,NA,N,NA,NA,NA,NA,NA
020700616,NASHVILLE CONVENTION & VISITORS BUREAU,NA,2009,NA,N,NA,NA,NA,NA,NA
020700616,NASHVILLE CONVENTION & VISITORS BUREAU,NA,2010,NA,N,NA,NA,NA,NA,NA
020700616,NASHVILLE CONVENTION & VISITORS BUREAU,NA,2011,NA,N,NA,NA,NA,NA,NA
020700616,NASHVILLE CONVENTION & VISITORS BUREAU,NA,2012,NA,N,NA,NA,NA,NA,NA
020733394,RES FDN OF THE CITY UNIV OF NEW YORK WELFARE BENEFIT TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
020733394,RESEARCH FDN OF THE CITY UNIVERS OF NEW YORK WELFARE BEN TR,NA,2008,NA,N,NA,NA,NA,NA,NA
020733394,RESEARCH FDN OF THE CITY UNIVERS OF NEW YORK WELFARE BEN TR,NA,2009,NA,N,NA,NA,NA,NA,NA
020733394,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF,NA,2011,NA,N,NA,NA,NA,NA,NA
020733394,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF,NA,2012,NA,N,NA,NA,NA,NA,NA
020738159,BUFFALO CIVIC AUTO RAMPS INC,NA,2009,NA,N,NA,NA,NA,NA,NA
020738159,BUFFALO CIVIC AUTO RAMPS INC,NA,2010,NA,N,NA,NA,NA,NA,NA
020738159,BUFFALO CIVIC AUTO RAMPS INC,NA,2011,NA,N,NA,NA,NA,NA,NA
020738159,BUFFALO CIVIC AUTO RAMPS INC,NA,2012,NA,N,NA,NA,NA,NA,NA
020758876,HOCKEY LEAGUE PLAYERS HEALTH FUND,NA,2010,NA,N,NA,NA,NA,NA,NA
026012331,ROTARY CLUB OF DOVER NH CO MARK BOULANGER,NA,2010,NA,N,573,NA,NA,NA,NA
026012331,ROTARY CLUB OF DOVER NH CO MARK BOULANGER,NA,2011,NA,N,573,NA,NA,NA,NA
026012331,ROTARY CLUB OF DOVER NH CO MARK BOULANGER,NA,2012,NA,N,573,NA,NA,NA,NA
026015031,NORTHERN NEW ENGLAND BENEFIT TRUST,NA,2008,NA,N,NA,NA,NA,NA,NA
026015031,NORTHERN NEW ENGLAND BENEFIT TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
026015031,NORTHERN NEW ENGLAND BENEFIT TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
026015031,NORTHERN NEW ENGLAND BENEFIT TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
026015031,NORTHERN NEW ENGLAND BENEFIT TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
026108886,AWANE INSURANCE TRUST,NA,2008,NA,N,NA,NA,NA,NA,NA
026108886,AWANE INSURANCE TRUST,NA,2009,NA,N,NA,NA,NA,NA,NA
026108886,AWANE INSURANCE TRUST,NA,2010,NA,N,NA,NA,NA,NA,NA
026108886,AWANE INSURANCE TRUST,NA,2011,NA,N,NA,NA,NA,NA,NA
026108886,AWANE INSURANCE TRUST,NA,2012,NA,N,NA,NA,NA,NA,NA
026162571,Co of Riverside CA VEBA Post-Employment Health Savings Plan,NA,2012,NA,N,NA,NA,NA,NA,NA
026162571,VEBA Post-Employment Health Savings Plan Trust,NA,2009,NA,N,NA,NA,NA,NA,NA
026162571,VEBA Post-Employment Health Savings Plan Trust,NA,2010,NA,N,NA,NA,NA,NA,NA
026162571,VEBA Post-Employment Health Savings Plan Trust,NA,2011,NA,N,NA,NA,NA,NA,NA
030108780,LAKE CHAMPLAIN REGIONAL CHAMBER OF COMMERCE INC,NA,2008,NA,N,NA,NA,NA,NA,NA
030108780,LAKE CHAMPLAIN REGIONAL CHAMBER OF COMMERCE INC,NA,2009,NA,N,NA,NA,NA,NA,NA
030108780,"LAKE CHAMPLAIN REGIONAL CHAMBER OF COMMERCE, INC.",NA,2010,NA,N,NA,NA,NA,NA,NA
030108780,LAKE CHAMPLAIN REGIONAL CHAMBER OF OF COMMERCE INC,NA,2011,NA,N,NA,NA,NA,NA,NA
030108780,LAKE CHAMPLAIN REGIONAL CHAMBER OF OF COMMERCE INC,NA,2012,NA,N,NA,NA,NA,NA,NA
030130760,HOLSTEIN ASSOCIATION USA INC,NA,2008,NA,N,NA,NA,NA,NA,NA
030130760,HOLSTEIN ASSOCIATION USA INC,NA,2009,NA,N,NA,NA,NA,NA,NA
030130760,HOLSTEIN ASSOCIATION USA INC,NA,2010,NA,N,NA,NA,NA,NA,NA
030130760,HOLSTEIN ASSOCIATION USA INC,NA,2011,NA,N,NA,NA,NA,NA,NA
030130760,HOLSTEIN ASSOCIATION USA INC,NA,2012,NA,N,NA,NA,NA,NA,NA
030135990,LAKE MANSFIELD TROUT CLUB,NA,2009,NA,N,NA,NA,NA,NA,NA
030135990,LAKE MANSFIELD TROUT CLUB,NA,2010,NA,N,NA,NA,NA,NA,NA
030135990,LAKE MANSFIELD TROUT CLUB,NA,2011,NA,N,NA,NA,NA,NA,NA
030135990,LAKE MANSFIELD TROUT CLUB,NA,2012,NA,N,NA,NA,NA,NA,NA
030136065,LAKOTA CLUB,NA,2008,NA,N,NA,NA,NA,NA,NA
030136065,LAKOTA CLUB,NA,2009,NA,N,NA,NA,NA,NA,NA
030136065,LAKOTA CLUB,NA,2010,NA,N,NA,NA,NA,NA,NA
030136065,Lakota Club co Corwin Sharp,NA,2011,NA,N,NA,NA,NA,NA,NA
030136065,Lakota Club co Corwin Sharp,NA,2012,NA,N,NA,NA,NA,NA,NA
030154330,RUTLAND COUNTY AGRICULTURAL SOCIETY,NA,2008,NA,N,NA,NA,NA,NA,NA
